./potpaw_PBE/Hg_sv_GW/POTCAR 1.376
./potpaw_PBE/C_GW/POTCAR 0.863
./potpaw_PBE/Cs_sv_GW/POTCAR 1.482
./potpaw_PBE/Yb/POTCAR 1.588
./potpaw_PBE/Gd_3/POTCAR 1.588
./potpaw_PBE/Ac/POTCAR 1.535
./potpaw_PBE/Tl_sv_GW/POTCAR 1.376
./potpaw_PBE/In/POTCAR 1.677
./potpaw_PBE/V_pv/POTCAR 1.217
./potpaw_PBE/Be_sv/POTCAR 0.995
./potpaw_PBE/Sn_d/POTCAR 1.566
./potpaw_PBE/Ru_sv/POTCAR 1.164
./potpaw_PBE/As/POTCAR 1.217
./potpaw_PBE/Zn_GW/POTCAR 1.270
./potpaw_PBE/Ni_sv_GW/POTCAR 1.111
./potpaw_PBE/Br_sv_GW/POTCAR 1.111
./potpaw_PBE/Yb_2/POTCAR 1.746
./potpaw_PBE/K_pv/POTCAR 2.275
./potpaw_PBE/Cd_sv_GW/POTCAR 1.111
./potpaw_PBE/Hf_sv/POTCAR 1.614
./potpaw_PBE/Al_GW/POTCAR 1.058
./potpaw_PBE/S_h/POTCAR 0.953
./potpaw_PBE/Sc/POTCAR 1.588
./potpaw_PBE/H_AE/POTCAR 
./potpaw_PBE/H.33/POTCAR 0.370
./potpaw_PBE/Zr_sv_GW/POTCAR 1.111
./potpaw_PBE/P_h/POTCAR 0.953
./potpaw_PBE/Ta_sv_GW/POTCAR 1.376
./potpaw_PBE/Zn_sv_GW/POTCAR 1.111
./potpaw_PBE/Hf_sv_GW/POTCAR 1.376
./potpaw_PBE/Co/POTCAR 1.302
./potpaw_PBE/Pt_pv/POTCAR 1.164
./potpaw_PBE/Fe_sv_GW/POTCAR 1.111
./potpaw_PBE/Cr_sv_GW/POTCAR 1.111
./potpaw_PBE/Y_sv/POTCAR 1.815
./potpaw_PBE/Cr_pv/POTCAR 1.323
./potpaw_PBE/Yb_3/POTCAR 1.746
./potpaw_PBE/Ce/POTCAR 1.323
./potpaw_PBE/H_h/POTCAR 0.370
./potpaw_PBE/Cr/POTCAR 1.323
./potpaw_PBE/Pa/POTCAR 1.535
./potpaw_PBE/Sn/POTCAR 1.566
./potpaw_PBE/Li_AE_GW/POTCAR 0.847
./potpaw_PBE/O_h_GW/POTCAR 0.635
./potpaw_PBE/Cm/POTCAR 1.482
./potpaw_PBE/Fe_pv/POTCAR 1.164
./potpaw_PBE/B_GW/POTCAR 0.905
./potpaw_PBE/Se_GW/POTCAR 1.164
./potpaw_PBE/Hf/POTCAR 1.614
./potpaw_PBE/Cu/POTCAR 1.164
./potpaw_PBE/Pd/POTCAR 1.434
./potpaw_PBE/Ge_sv_GW/POTCAR 1.111
./potpaw_PBE/Ni_GW/POTCAR 1.286
./potpaw_PBE/Ca_pv/POTCAR 1.746
./potpaw_PBE/F/POTCAR 0.794
