point_group," -1  0  0  
  0 -1  0  
  0  0  1  ","  1  0  0  
  0  1  0  
  0  0  1  ","  0  0 -1  
  1  0  0  
  0  1  0  "," -1  0  0  
  0  0 -1  
  0  1  0  ","  1  0  0  
  0  0 -1  
  0  1  0  ","  1  0  0  
  0 -1  0  
  0  0 -1  ","  1 -1  0  
  1  0  0  
  0  0  1  ","  0  0 -1  
  0 -1  0  
  1  0  0  ","  1 -1  0  
  0 -1  0  
  0  0 -1  "," -1  1  0  
 -1  0  0  
  0  0 -1  ","  1  0  0  
  0  0  1  
  0 -1  0  ","  0  1  0  
  0  0 -1  
 -1  0  0  ","  0  1  0  
  0  0  1  
 -1  0  0  ","  0  0 -1  
  0  1  0  
 -1  0  0  ","  0  0  1  
 -1  0  0  
  0  1  0  "," -1  0  0  
 -1  1  0  
  0  0 -1  "," -1  1  0  
  0  1  0  
  0  0 -1  "," -1  0  0  
  0 -1  0  
  0  0 -1  ","  1 -1  0  
  1  0  0  
  0  0 -1  ","  0 -1  0  
 -1  0  0  
  0  0  1  ","  0  1  0  
 -1  1  0  
  0  0 -1  ","  0  1  0  
 -1  0  0  
  0  0  1  ","  0  1  0  
 -1  1  0  
  0  0  1  ","  0 -1  0  
  0  0 -1  
 -1  0  0  ","  0  0 -1  
 -1  0  0  
  0 -1  0  ","  1  0  0  
  0  0 -1  
  0 -1  0  ","  1  0  0  
  0 -1  0  
  0  0  1  ","  0 -1  0  
  1 -1  0  
  0  0 -1  ","  1  0  0  
  1 -1  0  
  0  0 -1  ","  1  0  0  
  1 -1  0  
  0  0  1  ","  0 -1  0  
  0  0  1  
 -1  0  0  ","  0  0  1  
  0  1  0  
 -1  0  0  "," -1  0  0  
  0  0 -1  
  0 -1  0  "," -1  0  0  
  0  1  0  
  0  0  1  ","  0  0  1  
 -1  0  0  
  0 -1  0  "," -1  1  0  
  0  1  0  
  0  0  1  ","  0  0  1  
  0 -1  0  
 -1  0  0  ","  0  0  1  
  1  0  0  
  0  1  0  ","  0  1  0  
  0  0  1  
  1  0  0  ","  1  0  0  
  0  1  0  
  0  0 -1  ","  0  0 -1  
  0  1  0  
  1  0  0  ","  0 -1  0  
 -1  0  0  
  0  0 -1  ","  0  0  1  
  1  0  0  
  0 -1  0  ","  0  0  1  
  0  1  0  
  1  0  0  ","  0  0 -1  
 -1  0  0  
  0  1  0  ","  0  0 -1  
  0 -1  0  
 -1  0  0  ","  0 -1  0  
  1  0  0  
  0  0 -1  ","  0 -1  0  
  1 -1  0  
  0  0  1  ","  0  1  0  
  1  0  0  
  0  0  1  "," -1  0  0  
  0  0  1  
  0 -1  0  ","  0  1  0  
 -1  0  0  
  0  0 -1  "," -1  1  0  
 -1  0  0  
  0  0  1  "," -1  0  0  
  0  0  1  
  0  1  0  ","  0 -1  0  
  1  0  0  
  0  0  1  ","  0  1  0  
  0  0 -1  
  1  0  0  ","  0  0  1  
  0 -1  0  
  1  0  0  ","  1  0  0  
  0  0  1  
  0  1  0  ","  0  0 -1  
  1  0  0  
  0 -1  0  "," -1  0  0  
  0  1  0  
  0  0 -1  "," -1  0  0  
 -1  1  0  
  0  0  1  ","  0  1  0  
  1  0  0  
  0  0 -1  ","  0 -1  0  
  0  0  1  
  1  0  0  ","  1 -1  0  
  0 -1  0  
  0  0  1  ","  0 -1  0  
  0  0 -1  
  1  0  0  "
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
m,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/m,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
222,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mm2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mmm,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4/m,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
422,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
